x0,x1,x2,x3,x4,x5,x6
12.13,13.73,0.8081,5.394,2.745,4.825,5.22
13.02,13.76,0.8641,5.395,3.026,3.373,4.825
18.43,15.97,0.9077,5.98,3.771,2.984,5.905
19.06,16.45,0.8854,6.416,3.719,2.248,6.163
12.67,13.32,0.8977,4.984,3.135,2.3,4.745
20.2,16.89,0.8894,6.285,3.864,5.173,6.187
14.03,14.16,0.8796,5.438,3.201,1.717,5.001
11.27,12.86,0.8563,5.091,2.804,3.985,5.001
16.53,15.34,0.8823,5.875,3.467,5.532,5.88
15.6,15.11,0.858,5.832,3.286,2.725,5.752
11.84,13.21,0.8521,5.175,2.836,3.598,5.044
13.45,14.02,0.8604,5.516,3.065,3.531,5.097
14.37,14.39,0.8726,5.569,3.153,1.464,5.3
13.84,13.94,0.8955,5.324,3.379,2.259,4.805
12.8,13.47,0.886,5.16,3.126,4.873,4.914
12.79,13.53,0.8786,5.224,3.054,5.483,4.958
17.63,15.86,0.88,6.033,3.573,3.747,5.929
14.46,14.35,0.8818,5.388,3.377,2.802,5.044
17.12,15.55,0.8892,5.85,3.566,2.858,5.746
15.05,14.68,0.8779,5.712,3.328,2.129,5.36
11.75,13.52,0.8082,5.444,2.678,4.378,5.31
14.99,14.56,0.8883,5.57,3.377,2.958,5.175
16.23,15.18,0.885,5.872,3.472,3.769,5.922
10.8,12.57,0.859,4.981,2.821,4.773,5.063
12.15,13.45,0.8443,5.417,2.837,3.638,5.338
13.74,14.05,0.8744,5.482,3.114,2.932,4.825
14.11,14.18,0.882,5.541,3.221,2.754,5.038
13.5,13.85,0.8852,5.351,3.158,2.249,5.176
18.36,16.52,0.8452,6.666,3.485,4.933,6.448
11.27,12.97,0.8419,5.088,2.763,4.309,5.0
14.88,14.57,0.8811,5.554,3.333,1.018,4.956
12.26,13.6,0.8333,5.408,2.833,4.756,5.36
15.56,14.89,0.8823,5.776,3.408,4.972,5.847
11.65,13.07,0.8575,5.108,2.85,5.209,5.135
13.78,14.06,0.8759,5.479,3.156,3.136,4.872
18.17,16.26,0.8637,6.271,3.512,2.853,6.273
17.32,15.91,0.8599,6.064,3.403,3.824,5.922
13.07,13.92,0.848,5.472,2.994,5.304,5.395
11.18,13.04,0.8266,5.22,2.693,3.332,5.001
14.79,14.52,0.8819,5.545,3.291,2.704,5.111
11.56,13.31,0.8198,5.363,2.683,4.062,5.182
12.01,13.52,0.8249,5.405,2.776,6.992,5.27
20.97,17.25,0.8859,6.563,3.991,4.677,6.316
12.55,13.57,0.8558,5.333,2.968,4.419,5.176
14.52,14.6,0.8557,5.741,3.113,1.481,5.487
16.12,15.0,0.9,5.709,3.485,2.27,5.443
15.11,14.54,0.8986,5.579,3.462,3.128,5.18
19.18,16.63,0.8717,6.369,3.681,3.357,6.229
16.44,15.25,0.888,5.884,3.505,1.969,5.533
20.71,17.23,0.8763,6.579,3.814,4.451,6.451
14.11,14.26,0.8722,5.52,3.168,2.688,5.219
20.03,16.9,0.8811,6.493,3.857,3.063,6.32
19.38,16.72,0.8716,6.303,3.791,3.678,5.965
12.02,13.33,0.8503,5.35,2.81,4.271,5.308
18.81,16.29,0.8906,6.272,3.693,3.237,6.053
15.03,14.77,0.8658,5.702,3.212,1.933,5.439
14.11,14.1,0.8911,5.42,3.302,2.7,5.0
12.38,13.44,0.8609,5.219,2.989,5.472,5.045
17.08,15.38,0.9079,5.832,3.683,2.956,5.484
12.76,13.38,0.8964,5.073,3.155,2.828,4.83
19.57,16.74,0.8779,6.384,3.772,1.472,6.273
15.26,14.85,0.8696,5.714,3.242,4.543,5.314
12.11,13.27,0.8639,5.236,2.975,4.132,5.012
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056
14.92,14.43,0.9006,5.384,3.412,1.142,5.088
14.8,14.52,0.8823,5.656,3.288,3.112,5.309
11.48,13.05,0.8473,5.18,2.758,5.876,5.002
15.38,14.9,0.8706,5.884,3.268,4.462,5.795
18.72,16.34,0.881,6.219,3.684,2.188,6.097
19.46,16.5,0.8985,6.113,3.892,4.308,6.009
11.23,12.88,0.8511,5.14,2.795,4.325,5.003
12.74,13.67,0.8564,5.395,2.956,2.504,4.869
12.73,13.75,0.8458,5.412,2.882,3.533,5.067
15.57,15.15,0.8527,5.92,3.231,2.64,5.879
13.54,13.85,0.8871,5.348,3.156,2.587,5.178
11.26,13.01,0.8355,5.186,2.71,5.335,5.092
16.17,15.38,0.8588,5.762,3.387,4.286,5.703
18.45,16.12,0.8921,6.107,3.769,2.235,5.794
18.98,16.57,0.8687,6.449,3.552,2.144,6.453
19.13,16.31,0.9035,6.183,3.902,2.109,5.924
12.37,13.47,0.8567,5.204,2.96,3.919,5.001
16.87,15.65,0.8648,6.139,3.463,3.696,5.967
11.83,13.23,0.8496,5.263,2.84,5.195,5.307
12.44,13.59,0.8462,5.319,2.897,4.924,5.27
