PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
690,0,108,0,15.0,0,1,68,19,27,2
742,0,40,1,36.0,1,0,60,81,59,2
149,1,124,1,36.5,0,2,66,25,128,2
513,0,113,1,36.0,0,0,93,27,109,2
367,0,176,0,60.0,1,0,4,75,93,0
858,0,50,1,51.0,0,0,16,29,107,2
493,0,118,1,55.0,0,0,29,38,56,2
718,1,173,0,27.0,0,0,75,2,104,2
24,0,155,1,28.0,0,0,30,45,10,2
231,0,84,0,35.0,1,0,86,87,71,2
391,0,38,1,36.0,1,2,22,9,41,2
725,0,42,1,27.0,1,0,32,60,125,2
780,0,141,0,43.0,0,1,68,19,17,2
663,0,45,1,47.0,0,0,88,23,120,2
783,0,104,1,29.0,0,0,17,37,100,2
797,0,99,0,49.0,0,0,56,24,84,2
619,1,16,0,4.0,2,1,67,47,130,2
521,0,136,0,30.0,0,0,43,92,34,2
633,0,159,1,32.0,0,0,46,38,28,0
249,0,17,1,37.0,1,1,33,59,91,2
764,0,39,0,36.0,1,2,22,9,41,2
413,0,116,0,33.0,1,0,61,90,69,1
196,0,106,0,58.0,0,0,101,14,37,0
540,0,67,0,22.0,0,2,51,51,22,0
435,0,152,1,50.0,1,0,48,63,116,2
292,0,22,0,19.0,1,0,42,91,26,0
371,0,80,1,25.0,1,0,37,62,119,0
701,0,8,0,18.0,1,0,115,21,64,0
578,0,153,0,39.0,1,0,48,63,116,2
53,0,82,0,49.0,1,0,102,77,90,0
557,0,56,0,48.0,1,0,36,49,1,0
890,0,20,1,26.0,0,0,8,37,52,0
310,0,66,0,30.0,0,0,99,64,113,0
743,0,146,0,21.0,2,2,110,30,30,0
340,0,25,1,45.0,0,0,27,45,132,2
873,0,35,1,33.0,0,0,89,53,29,2
225,0,92,1,38.0,1,0,62,90,78,2
631,0,11,1,80.0,0,0,71,37,3,2
517,1,100,0,34.0,0,0,91,2,129,2
700,2,94,1,42.0,0,0,77,72,126,2
311,0,87,0,24.0,0,0,38,86,63,0
338,0,31,0,41.0,0,0,52,12,115,0
660,0,127,1,58.0,0,2,80,6,96,0
572,0,7,0,53.0,2,0,39,55,42,2
537,0,32,1,45.0,0,0,14,29,21,2
824,2,120,0,27.0,0,1,87,7,106,2
600,0,57,1,49.0,1,0,99,64,2,0
263,0,167,1,52.0,1,1,1,83,122,2
766,0,91,0,51.0,1,0,47,79,82,2
264,0,85,1,40.0,0,0,11,0,40,2
446,0,54,1,4.0,0,2,74,85,7,2
505,0,109,0,16.0,0,0,0,88,36,2
430,2,138,1,32.0,0,0,124,84,103,2
326,0,182,0,36.0,0,0,118,13,57,0
370,0,9,0,24.0,0,0,97,71,19,0
586,0,166,0,18.0,0,2,1,83,123,2
453,0,61,1,30.0,0,0,15,33,46,0
551,0,171,1,17.0,0,2,53,5,68,0
98,0,78,1,23.0,0,1,117,69,81,0
749,0,110,1,19.0,1,0,23,60,89,2
276,0,5,0,63.0,1,0,47,79,101,2
708,0,33,1,42.0,0,0,96,27,108,2
588,0,68,1,60.0,1,1,50,82,24,0
346,1,29,0,24.0,0,0,70,10,129,2
702,0,151,1,35.0,0,0,95,27,108,2
152,0,133,0,22.0,1,0,24,70,53,2
497,0,59,0,54.0,1,0,83,80,86,0
258,0,44,0,30.0,0,0,0,88,35,2
807,0,6,1,39.0,0,0,9,0,8,2
760,0,144,0,33.0,0,0,0,88,35,2
499,0,3,0,25.0,1,2,25,15,54,2
394,0,126,0,23.0,1,0,80,6,92,0
246,0,115,1,44.0,2,0,61,90,69,1
